monto_sol_dev,ejercicio,periodo
34930,2016,2
9690,2016,2
3334,2016,2
344,2016,2
1573,2016,2
67,2016,2
265,2016,2
1597,2016,2
2026,2016,2
1639,2016,2
3481,2016,2
12570,2016,2
293,2016,2
3322,2016,2
11558,2016,2
157,2016,2
3281,2016,2
56732,2016,2
14534,2016,2
46915,2016,2
7059,2016,2
84637,2016,2
20034,2016,2
16309,2016,2
44169,2016,2
750,2016,2
1458,2016,2
15910,2016,2
6892,2016,2
6560,2016,2
8228,2016,2
24803,2016,2
79,2016,2
49505,2016,2
838176,2016,2
69988,2016,2
5738,2016,2
2907,2016,2
511,2016,2
773,2016,2
66,2016,2
244,2016,2
2818,2016,2
2366,2016,2
1231,2016,2
9917,2016,2
6644,2016,2
14442,2016,2
27669,2016,2
63,2016,2
283,2016,2
66785,2016,2
252,2016,2
1658,2016,2
2,2016,2
336374,2016,2
1162,2016,2
6813,2016,2
65281,2016,2
39467,2016,2
632252,2016,2
899,2016,2
278,2016,2
28089,2016,2
473,2016,2
1465,2016,2
8760,2016,2
17,2016,2
910,2016,2
144074,2016,2
1582,2016,2
6574,2016,2
307353,2016,2
9515,2016,2
548,2016,2
224,2016,2
1533,2016,2
382,2016,2
13138,2016,2
105872,2016,2
1697,2016,2
594,2016,2
544,2016,2
882,2016,2
1298,2016,2
923,2016,2
37905,2016,2
3371,2016,2
544,2016,2
4735,2016,2
496,2016,2
4374,2016,2
1236,2016,2
860,2016,2
27049,2016,2
14923,2016,2
24828,2016,2
577,2016,2
14639,2016,2
5754,2016,2
2016,2016,2
904,2016,2
13212,2016,2
14790,2016,2
146,2016,2
201,2016,3
3100,2016,2
12862,2016,2
38351,2016,2
4779,2016,2
38083,2016,2
3607,2016,2
868380,2016,2
215550,2016,2
41601,2016,2
4023,2016,2
30645,2016,2
16238,2016,2
117801,2016,2
38786,2016,2
40185,2016,2
239465,2016,2
352,2016,2
9412,2016,2
5082,2016,2
332,2016,2
6040,2016,2
494,2016,2
3319,2016,2
9094,2016,2
12563,2016,2
18743,2016,2
57899,2016,2
336,2016,2
233497,2016,2
205076,2016,2
676067,2016,2
85170,2016,2
862867,2016,2
56,2016,2
463981,2016,2
859,2016,2
161342,2016,2
129,2016,2
341,2016,2
151523,2016,2
92,2016,2
1009,2016,2
6508,2016,2
6898,2016,2
321,2016,2
2831,2016,2
26566,2016,2
1962,2016,2
4277,2016,2
10048,2016,2
38158,2016,2
58276,2016,2
8795,2016,2
83,2016,2
50,2016,2
512,2016,2
19955,2016,2
8330,2016,2
3121,2016,2
22890,2016,2
40661,2016,2
5077,2016,2
11194,2016,2
1021,2016,2
260923,2016,2
2,2016,2
11485,2016,2
98434,2016,2
17467,2016,2
1918,2016,2
221,2016,2
43,2016,2
1697,2016,2
176,2016,2
3909,2016,2
5635,2016,2
481,2016,2
89526,2016,2
26,2016,2
159,2016,2
684,2016,2
5399,2016,2
472,2016,2
1121,2016,2
1692,2016,2
44568,2016,2
688,2016,2
410801,2016,2
1440,2016,2
47166,2016,2
31834,2016,2
9922,2016,2
2854,2016,2
37201,2016,2
532,2016,2
1091,2016,2
1808,2016,2
17943,2016,2
3714,2016,2
4147,2016,2
4552,2016,2
6911,2016,2
1915,2016,2
1852,2016,2
325,2016,2
23315,2016,2
679294,2016,2
77838,2016,2
88610,2016,2
38560,2016,2
1574,2016,2
329,2016,2
2248,2016,2
6320,2016,2
2512,2016,2
6117,2016,2
13459,2016,2
132,2016,2
21012,2016,2
213,2016,2
45055,2016,2
279852,2016,2
1654,2016,2
390722,2016,2
28825,2016,2
795,2016,2
4029,2016,2
22441,2016,2
4123,2016,2
33756,2016,2
62,2016,2
6753,2016,2
164827,2016,2
952,2016,2
4850,2016,2
14571,2016,2
204,2016,2
17443,2016,2
7410,2016,2
1795,2016,2
119,2016,2
19330,2016,2
342,2016,2
7521,2016,2
15850,2016,2
2007,2016,2
42895,2016,2
2388,2016,2
926,2016,2
2379,2016,2
79294,2016,2
8825,2016,2
7035,2016,2
122217,2016,2
99962,2016,2
10224,2016,2
216483,2016,2
170472,2016,2
8398,2016,2
15901,2016,2
22134,2016,2
46440,2016,2
993297,2016,2
114418,2016,2
14653,2016,2
201,2016,2
2836,2016,2
52969,2016,2
184349,2016,2
389693,2016,2
47374,2016,2
12316,2016,2
613,2016,2
326540,2016,2
357800,2016,2
603295,2016,2
262805,2016,2
643798,2016,2
38081,2016,2
8438,2016,2
405487,2016,2
71355,2016,2
132828,2016,2
578509,2016,2
544449,2016,2
84642,2016,2
48,2016,2
248006,2016,2
847989,2016,2
930703,2016,2
105454,2016,2
288654,2016,2
1746,2016,2
41667,2016,2
443977,2016,2
2409,2016,2
15294,2016,2
486711,2016,2
775,2016,2
49129,2016,2
893,2016,2
24035,2016,2
6651,2016,2
179015,2016,2
61,2016,2
79387,2016,2
23141,2016,2
80,2016,2
31960,2016,2
26,2016,2
230648,2016,2
63,2016,2
53579,2016,2
227697,2016,2
394,2016,2
4727,2016,2
366681,2016,2
691,2016,2
102684,2016,2
404568,2016,2
771012,2016,2
25257,2016,2
176,2016,2
114187,2016,2
353350,2016,2
6809,2016,2
260,2016,2
17746,2016,2
45186,2016,2
305553,2016,2
40,2016,2
32412,2016,2
37870,2016,2
984,2016,2
484885,2016,2
7835,2016,2
194033,2016,2
283542,2016,2
263179,2016,2
561390,2016,2
157659,2016,2
25760,2016,2
720,2016,2
11833,2016,2
45528,2016,2
3473,2016,2
5456,2016,2
150221,2016,2
554775,2016,2
408454,2016,2
3773,2016,2
156850,2016,2
24602,2016,2
2240,2016,2
53541,2016,2
4875,2016,2
62,2016,2
16966,2016,2
38823,2016,2
397358,2016,2
28144,2016,2
1006,2016,2
8023,2016,2
4709,2016,2
262089,2016,2
80862,2016,2
1692,2016,2
166197,2016,2
118889,2016,2
9686,2016,2
69669,2016,2
746,2016,2
1087,2016,2
46600,2016,2
368554,2016,2
72503,2016,2
3576,2016,2
557,2016,2
25771,2016,2
10263,2016,2
21390,2016,2
71758,2016,2
7723,2016,2
217864,2016,2
245504,2016,2
99667,2016,2
100229,2016,2
4633,2016,2
1923,2016,2
16956,2016,2
366071,2016,2
62,2016,2
189251,2016,2
7600,2016,2
767523,2016,2
57275,2016,2
285606,2016,2
3409,2016,2
14609,2016,2
14423,2016,2
25960,2016,2
55096,2016,2
948702,2016,2
106,2016,2
895,2016,2
401894,2016,2
3159,2016,2
4726,2016,2
371088,2016,2
12476,2016,2
29506,2016,2
4479,2016,2
361613,2016,2
235602,2016,2
811423,2016,2
11037,2016,2
77189,2016,2
39220,2016,2
37365,2016,2
412,2016,2
19099,2016,2
181188,2016,2
55180,2016,2
4578,2016,2
2161,2016,2
244515,2016,2
